2021-02-06 20:08:41,669 (INFO) ================== new session ==================
2021-02-06 20:08:41,672 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Initialization
2021-02-06 20:08:41,676 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Extension Service] Initialization
2021-02-06 20:08:41,677 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Game Service] Initialization
2021-02-06 20:08:41,681 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Hotkey Service] Initialization
2021-02-06 20:08:41,770 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Window Service] Initialization
2021-02-06 20:08:42,573 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at https://doubleclick.net/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:08:42,594 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Extension Service] Event listeners have been enabled
2021-02-06 20:08:42,610 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Window Service] Event listeners have been enabled
2021-02-06 20:08:42,653 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Hotkey Service] Event listeners have been enabled
2021-02-06 20:08:42,658 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Game Service] Event listeners have been enabled
2021-02-06 20:08:42,675 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Setting required features: ["me","match_info","location","inventory","rank","match_state","team","roster","kill_feed","kill","death","revive","damage"]
2021-02-06 20:08:42,784 (WARN) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Failed to set required features: Provider did not set features yet. (Retrying in 5 seconds.)
2021-02-06 20:08:42,807 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at http://overwolf.com/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:08:43,391 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at https://tracker.gg/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:08:43,468 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at http://thetrackernetwork.com/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:08:47,798 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Setting required features: ["me","match_info","location","inventory","rank","match_state","team","roster","kill_feed","kill","death","revive","damage"]
2021-02-06 20:08:47,816 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Required features have been set: ["rank","match_state","kill","death","team","me","location","revive","roster","kill_feed","match_info","inventory","damage"]
2021-02-06 20:08:47,819 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Event listeners have been enabled
2021-02-06 20:08:52,782 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Extension Service] Update status: UpToDate
2021-02-06 20:09:58,331 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_13":"{\"name\":\"WretchedFOE\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,361 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_14":"{\"name\":\"ToxicDiabl0\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,375 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_15":"{\"name\":\"MrSlurp\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,418 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_16":"{\"name\":\"Bautista1\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,475 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_17":"{\"name\":\"francesco.leonardo.nicolo\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,500 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_18":"{\"name\":\"analpounder420\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,550 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_19":"{\"name\":\"Popetatoes\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,580 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_7":"{\"name\":\"KLM09\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,604 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_24":"{\"name\":\"bigloot98\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,611 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_25":"{\"name\":\"Dankinss\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,625 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_26":"{\"name\":\"ketzel\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,654 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_27":"{\"name\":\"Addreli\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,661 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_28":"{\"name\":\"spikeyfuzzy\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,664 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_20":"{\"name\":\"tutsai17\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,676 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_23":"{\"name\":\"Melon\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,682 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_22":"{\"name\":\"ChunkyBoi6\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,691 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_21":"{\"name\":\"[1L-16] Cesar G.\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,725 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_29":"{\"name\":\"FireGojiraFire\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,736 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_30":"{\"name\":\"nom\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,747 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_31":"{\"name\":\"agsanilo\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,784 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_32":"{\"name\":\"NfTaylong\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,808 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_33":"{\"name\":\"kanyesballs\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,834 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_34":"{\"name\":\"Screaming Chicken\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,850 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_35":"{\"name\":\"PopSmokeOH\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,881 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_36":"{\"name\":\"Jammedpurse\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,892 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_38":"{\"name\":\"jjhaggin420\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,893 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_37":"{\"name\":\"Krey055\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,930 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_39":"{\"name\":\"Nnov\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,943 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_41":"{\"name\":\"ThePurpleCheese\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,954 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_42":"{\"name\":\"spildebret\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,978 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_43":"{\"name\":\"avengerfan818\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,979 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_40":"{\"name\":\"IraqiLemur\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,996 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_44":"{\"name\":\"Lord_Gucc\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,018 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_45":"{\"name\":\"minodus\",\"isTeammate\":true}"}},"feature":"roster"}
2021-02-06 20:09:59,040 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_46":"{\"name\":\"firemountain007\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,049 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_47":"{\"name\":\"Drag0n_D3ath\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,055 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_48":"{\"name\":\"sasquatch743\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,077 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_49":"{\"name\":\"cmurchison19\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,084 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_50":"{\"name\":\"nicktinii\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,105 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_51":"{\"name\":\"froze\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,110 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_53":"{\"name\":\"makalakimberly16\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,121 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_54":"{\"name\":\"DeetsDeets\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,129 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_55":"{\"name\":\"SHAME WlZARD\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,132 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_52":"{\"name\":\"Elraow\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,134 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_56":"{\"name\":\"OneArmedWingman\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,135 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_58":"{\"name\":\"LUMALUXES\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,137 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_57":"{\"name\":\"YoungLordSuave\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:59,139 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"teammate_2":"{\"name\":\"minodus\",\"state\":\"alive\"}"}},"feature":"team"}
2021-02-06 20:09:59,141 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_59":"{\"name\":\"CJHAY06\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:10:08,545 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"legendSelect_0":"{\"playerName\":\"CannonDeLuce\",\"legendName\":\"#character_bangalore_NAME\",\"selectionOrder\":\"0\",\"lead\":false}"}},"feature":"team"}
2021-02-06 20:10:08,893 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at http://apex.tracker.gg/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:10:15,531 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"legendSelect_1":"{\"playerName\":\"jononthemoon\",\"legendName\":\"#character_fuse_NAME\",\"selectionOrder\":\"1\",\"lead\":false}"}},"feature":"team"}
2021-02-06 20:10:23,537 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"legendSelect_2":"{\"playerName\":\"minodus\",\"legendName\":\"#character_lifeline_NAME\",\"selectionOrder\":\"2\",\"lead\":true}"}},"feature":"team"}
2021-02-06 20:10:46,577 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"pseudo_match_id":"667413ef-d4a4-4694-9123-3a9eaef9267a"}},"feature":"match_info"}
2021-02-06 20:10:46,578 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"team_info":"{\"team_state\":\"active\"}"}},"feature":"team"}
2021-02-06 20:10:46,579 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"game_info":{"match_state":"active"}},"feature":"match_state"}
2021-02-06 20:10:46,580 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Event Fired] {"name":"match_start","data":""}
2021-02-06 20:10:46,581 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"victory":null}},"feature":"rank"}
2021-02-06 20:10:46,589 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"me":{"totalDamageDealt":"0"}},"feature":"damage"}
2021-02-06 20:10:46,591 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"580\",\"y\":\"67\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:46,601 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"me":{"weapons":"{}"}},"feature":"inventory"}
2021-02-06 20:10:46,602 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"me":{"inUse":"{\"inUse\":\"\"}"}},"feature":"inventory"}
2021-02-06 20:10:47,061 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"tabs":"{\"kills\":0,\"spectators\":0,\"teams\":20,\"players\":60,\"damage\":0,\"cash\":0}"}},"feature":"match_info"}
2021-02-06 20:10:47,076 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"570\",\"y\":\"65\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:47,572 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"560\",\"y\":\"64\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:48,093 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"550\",\"y\":\"62\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:48,597 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"540\",\"y\":\"60\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:49,127 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"530\",\"y\":\"59\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:49,629 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"519\",\"y\":\"57\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:50,175 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"509\",\"y\":\"55\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:50,666 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"499\",\"y\":\"54\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:51,181 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"489\",\"y\":\"52\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:51,671 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"479\",\"y\":\"51\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:52,200 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"469\",\"y\":\"49\",\"z\":\"234\"}"}},"feature":"location"}
2021-02-06 20:10:52,696 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"location":"{\"x\":\"460\",\"y\":\"47\",\"z\":\"234\"}"}},"feature":"location"}
